ABU DHABI,ABU DHABI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,ACCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALCHEVSK,ALCHEVSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMATY,ALMATY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM,AMSTERDAM,AMSTELVEEN,Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,ANDORRA,ANDORRA LA VE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKARA,ANKARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTALYA,ANTALYA,ANTALYA,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTIBES,ANTIBES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHINA,ATHINA,Athens,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALAKLEYA,BALAKLEYA,BALAKLEYA,Balakliya,,,,,,,,,,,,,,,,,,,,,,,,,,
BALI,BALI,BALI DENPASAR,BALI KUTA,,,,,,,,,,,,,,,,,,,,,,,,,,
BANGKOK,BANGKOK,BANGKOK,Bangkok,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR,BAR,BAR,Bar,,,,,,,,,,,,,,,,,,,,,,,,,,
BARANYNTSI,BARANYNTSI,BARANINTSY,BARANYNSI,BARANYNTSI,,,,,,,,,,,,,,,,,,,,,,,,,
BARCELONA,BARCELONA,BARCELLONA,Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAYA TSERKO,BELAYA TSERKO,BILA TSERKVA,B TSERKOV,B.TSERKVA,BELAYA TSERKO,BILA CERKVA,BILA TSERKVA,Bila Tserkva,,,,,,,,,,,,,,,,,,,,,
BELGOROD,BELGOROD,BELGOROD,BELGORODSKY R,BELG.-DNESTR.,,,,,,,,,,,,,,,,,,,,,,,,,
BERLIN,BERLIN,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLSHIE LAZY,BOLSHIE LAZY,BOLSHIE LAZY,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORYSPIL,BORYSPIL,BORISPOL,AEROPORT BORY,BORISPIL,BORISPOL,BORYSPIL,BORYSPIL',BORYSPIL-7,BORYSPOL,BORYSPIL,BORYSPIL-7,BORISPOL,BORYSPIL',BORISPIL,BORYSPOL,BORYSPIL-7,BORYSPIL',BORYSPIL,BORISPOL,BORISPIL,,,,,,,,,
BOYARKA,BOYARKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROVARY,BROVARY,BROVARI,Brovari,BROVARI,BROVARY,Brovari,,,,,,,,,,,,,,,,,,,,,,,
BUCHA,BUCHA,Bucha,BUCHA,Bucha,,,,,,,,,,,,,,,,,,,,,,,,,
BUDAPEST,BUDAPEST,Budapest,BUDAPEST,BUDAPEST/1061,Budapest,,,,,,,,,,,,,,,,,,,,,,,,
BUZOVA,BUZOVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAIRO,CAIRO,CAIRO AIRPORT,CAIRO E -07C,CAIRO E -07E,CAIRO N -07C,,,,,,,,,,,,,,,,,,,,,,,,
CANNES,CANNES,CANNE0000868/,06CANNES,06CANNES(((30,06CANNES(((37,,,,,,,,,,,,,,,,,,,,,,,,
CHERKASSY,CHERKASSY,CHERKAS,CHERKASKA LOZ,CHERKASSY,CHERKASY,,,,,,,,,,,,,,,,,,,,,,,,
CHERNIVTSI,CHERNIVTSI,CHERNOVTSY,CHERNOVTSY,CHERNOVTCY,CHERNOVTSYI,CHERNIVTSI,CHERNIVTSI N,CHERNIVTSY,CHERNOVCY,,,,,,,,,,,,,,,,,,,,
CHICAGO,CHICAGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DERGACHI,DERGACHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNDZERZHYNSK,DNDZERZHYNSK,DNEPRODZER-SK,DNEPRODZER-SK,DNEPRODZERJIN,DNIPRODZERJIN,DNIPRODZERZHY,DZERZHINSK.R-,,,,,,,,,,,,,,,,,,,,,,
DNEPROPETR-SK,DNEPROPETR-SK,DNEPR,DNIPROPETROVS,DNEPROPETROVS,DNIP-SK,DN-SK,DNEPROPENROVS,DNIPROPETROV,DNIPROPETRIVS,DNEPR,DNEPROPENROVS,DNEPROPETR-SK,DNEPROPETROV,DNEPROPETROVS,DNEPROPTROVSK,DNIEPROPETROV,DNIP-SK,DNIPROPETROV,DNIPROPETROVK,DNIPROPETROVS,DNIPROPRTROV,,,,,,,,
DOKUCHAEVSK,DOKUCHAEVSK,Dokuchaevsk,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONETSK,DONETSK,DONETSK,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRESDEN,DRESDEN,Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBAI,DUBAI,Dubai,DUBAI,Dubai,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN,DUBLIN,DUBLIN 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBOVOE,DUBOVOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUESSELDORF,DUESSELDORF,DUESSEL 47,DUESSEL 49,Duesseldorf,Duesseldorf-M,Dusseldorf,DUESSELDORF,DUESSEL 49,DUESSEL 47,DUE-KOE 41,,,,,,,,,,,,,,,,,,,
FIRENZE,FIRENZE,FIRENZE,FLORENCE,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANKFURT,FRANKFURT,FRANKF7452567,FRANKF7527499,FRANKFURT AM,Frankfurt am,FRANKFURT AM,Frankfurt am,FRANKF7452567,FRANKF7527499,FRANKFURT,,,,,,,,,,,,,,,,,,,
FURMANKA,FURMANKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIBRALTAR,GIBRALTAR,Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,
GORA,GORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOSTOMEL,GOSTOMEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HANGZHOU,HANGZHOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HODOSIVKA,HODOSIVKA,HODOSEEVKA,HODOSIEVKA,HODOSIVKA,HODOSIYIVKA,HODOSOVKA,KHODOSIVKA,S KHODOSIVKA,S.KHODOSIVKA,,,,,,,,,,,,,,,,,,,,
ILYICHEVSK,ILYICHEVSK,ILICHEVSK,ILLICHIVSK,ILLYCHEVSK,IILICHEVSK,ILICHEVSK,ILYICHEVSK,ILLICHEVSK,ILYCHEVSK,,,,,,,,,,,,,,,,,,,,
IRPIN,IRPIN,IRPEN,IRPIN',,,,,,,,,,,,,,,,,,,,,,,,,,
IRSHAVA,IRSHAVA,Irshava,IRSHEVA,,,,,,,,,,,,,,,,,,,,,,,,,,
ISTANBUL,ISTANBUL,Istanbul,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVANO-FRANK.,IVANO-FRANK.,IVANO-FRANKOV,IVANO-FRANKIV,IV-FRANKIVSK,IVANO FRANKIV,IV-FRANKIVSK,IFANO-FRANKIV,IVAN-FRANKIVS,IVAN-FRANKOVS,IVANO FRANKI,IVANO FRANKIV,IVANO FRANKOV,IVANO-FR-VSK,IVANO-FRANK-K,IVANO-FRANK-S,IVANO-FRANK.,IVANO-FRANKIV,IVANO-FRANKOV,IVANO_FRANKOV,Ivano Franki,Ivano-Frankiv,,,,,,,,
KALYNIVKA,KALYNIVKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARLIVKA,KARLIVKA,KARLOVKA,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHARKOV,KHARKOV,KHARKIV,HARKIV,HARKOV,KHARKIV,HARKIV,Kharkiv,KHAR`KOV,KHARK V,HARKIV,HARKOV,,,,,,,,,,,,,,,,,,
KHIMKI,KHIMKI,KHIMKI-141400,G KHIMKI,HIMKI,Himki,KHIMKI,KHIMKI,KHIMKI-141400,,,,,,,,,,,,,,,,,,,,,
KHMELNITSKIY,KHMELNITSKIY,KHMELNYTSKYI,KHMELNITSKII,KHMELNITSKIY,KHMELNITSKY,KHMELNITSKYI,KHMELNITSKYY,KHMELNYCKIY,KHMELNYTSK,KHMELNYTSKII,KHMELNYTSKIY,KHMELNYTSKY,KHMELNYTSKYI,KHMELNYTSKYJ,KHMELNYTSKYY,KHMEL'NYTSKYY,KHMELNITSKII,KHMELNITSKIY,KHMELNITSKY,KHMELNITSKYI,KHMELNITSKYY,KHMELNYCKIY,KHMELNYTSK,KHMELNYTSKII,KHMELNYTSKIY,KHMELNYTSKY,KHMELNYTSKYI,KHMELNYTSKYJ,KHMELNYTSKYY
KINCHESH,KINCHESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIROVOGRAD,KIROVOGRAD,KIRIVOGRAD,,,,,,,,,,,,,,,,,,,,,,,,,,,
KISVARDA,KISVARDA,Kisv rda,KISVARDA,,,,,,,,,,,,,,,,,,,,,,,,,,
KLYACHANOVO,KLYACHANOVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOROSTEN,KOROSTEN,KOROSTEN',,,,,,,,,,,,,,,,,,,,,,,,,,,
KOROVIYA,KOROVIYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRAKOVETS,KRAKOVETS,KRAKOVETC,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRAKOW,KRAKOW,Krakow,,,,,,,,,,,,,,,,,,,,,,,,,,,
KREMENCHUG,KREMENCHUG,KREMENCHUH,KREMENCHUK,Kremenchuk,,,,,,,,,,,,,,,,,,,,,,,,,
KUALA LUMPUR,KUALA LUMPUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYIV,KYIV,KIYEV,KIEV,Kiiev,KIYV,Kyiv,Kiev,P-A BORSCHAGI,KYIV UA,A/D KYIV-VYSH,BORCHAGOVKA,KUIV,KIYEV,,,,,,,,,,,,,,,,
LADYZHYNKA,LADYZHYNKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAS VEGAS,LAS VEGAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEICESTER,LEICESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LISBOA,LISBOA,Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITIN,LITIN,LITYN,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDON,LONDON,BAKER STREET,BOND ST STN,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS ANGELES,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUTSK,LUTSK,m.Lutsk,LUTSK,LUTZK,LUTS'K,LUC'K,LUCHK,LUCK,,,,,,,,,,,,,,,,,,,,,
LVOV,LVOV,LVIV,LVIV,Lviv,LVIV-BRUHOVYC,LVIV-VYNNYKY,Lviv,,,,,,,,,,,,,,,,,,,,,,
LYPYNY,LYPYNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MENDRISIO,MENDRISIO,Mendrisio,Mendrisio,Mendrisio (fo,,,,,,,,,,,,,,,,,,,,,,,,,
MIAMI,MIAMI,NORTH MIAMI,NORTH MIAMI B,MIAMI BEACH,Miami,MIAMI,N MIAMI BEACH,Miami Beach,MIAMI BEACH,MIAMI BCH,,,,,,,,,,,,,,,,,,,
MICHALOVCE,MICHALOVCE,MICHALOVCE S,Michalovce,,,,,,,,,,,,,,,,,,,,,,,,,,
MILANO,MILANO,G.MILANO EST,CERVIA MILANO,G.MILANO EST,MILAN,MILANO,MILANO EST,MILANO MARITT,,,,,,,,,,,,,,,,,,,,,
MINSK,MINSK,MINSK.OBL.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIZIKEVYCHA,MIZIKEVYCHA,MIZIKEVICHA,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONACO,MONACO,A998 MONACO,A9MONACO,,,,,,,,,,,,,,,,,,,,,,,,,,
MOSCOW,MOSCOW,MOSKVA,Moskva,DOMODEDOVO,Domodedovo,G DOMODEDOVO,G MOSKVA,SOKILNYKY,MOSCOW-123557,MOSKVA G,MOSKVA,MOSKOW,MOSKOVSKIIY R,MOSKOVSKAYA R,MOSKOVSKAYA O,MOSKOVSK.OBL.,MOSCOW,Moskva,Moscow,G MOSKVA,Moskva,MOSKVA,MOSKVA G,Moscow,MOSCOW,,,,MOSCOW-127051
MUENCHEN,MUENCHEN,MUENCHEN,MUENCHEN-FLUG,MUENCHEN FLUG,Muenchen-Flug,Muenchen,MUENCHEN,MUENCHEN-FLUG,MUENCHEN FLUG,,,,,,,,,,,,,,,,,,,,
MUKACHEVO,MUKACHEVO,MUKACHEVE,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAPOLI,NAPOLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NERUBAYSK,NERUBAYSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVYC'KE SELO,NEVYC'KE SELO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK,NEW YORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NICE,NICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIKOLAYEV,NIKOLAYEV,NIKOLAEV,MYKOLAIIV,MYKOLAIV,MYKOLAYIV,,,,,,,,,,,,,,,,,,,,,,,,
NOVOMOSKOVSK,NOVOMOSKOVSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVOVOLYNSK,NOVOVOLYNSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYIREGYHAZA,NYIREGYHAZA,Nyiregyhaza,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBUKHOV,OBUKHOV,OBUHIV,OBUKHIV,OBUKHIV,OBUHIV,OBUHOV,OBUKHOV,,,,,,,,,,,,,,,,,,,,,,
ODESSA,ODESSA,ODESA,ODESKA OBL,M ODESA,NOVA ODESA,ODESA,ODESSKAYA OBL,ODESSA-NOVOAZ,ODESSA,ODESKA OBLAST,ODESKA OBL,ODSSA,,,,,,,,,,,,,,,,,
PALAFRUGELL,PALAFRUGELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARIS,PARIS,75PARIS,75PARIS 01,75PARIS 01,75PARIS 04,75PARIS 06,75011 PARIS,75025PARIS 8,754249569PARI,75PARIS 08,75PARIS 08,75PARIS 1,75PARIS 18,75PARIS 4,75PARIS 6,75PARIS 7,75PARIS 8,75PARIS 8 00,75PARIS 8 077,77FONTAINEBLE,77FONTAINEBLE,,,,,,,,
PHUKET,PHUKET,9998 PHUKET,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIDGIRCI,PIDGIRCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PODGORICA,PODGORICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POKOTILOVKA,POKOTILOVKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLTAVA,POLTAVA,Poltava,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYANICYA,POLYANICYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRAHA,PRAHA,PRAHA 1,PRAHA 2,PRAHA 3,PRAHA 4,PRAHA 5,PRAHA 6,PRAHA 8,PRAHA 9,Praha,Praha  Barra,Praha  Olsin,Praha 1,Praha 10,Praha 8,Praha 9,,,,,,,,,,,,,
PRZEMYSL,PRZEMYSL,Przemysl,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADOMISHL,RADOMISHL,RADOMISHL,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIGA,RIGA,Riga,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVNE,RIVNE,ROVNO,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROMA,ROMA,Roma,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPOTUHA,ROPOTUHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN FRANCISCO,SAN FRANCISCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANKT-PETERBU,SANKT-PETERBU,FONTANKA,Fontanka,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA MONICA,SANTA MONICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEVERODONETZK,SEVERODONETZK,SEVERODONETSK,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHARYN,SHARYN,SHARIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINGAPORE,SINGAPORE,SINGAPROE,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIRET,SIRET,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKRILL,SKRILL,Skrill,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOBRANCE,SOBRANCE,Sobrance,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCHI,SOCHI,G SOCHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLOMONOVO,SOLOMONOVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STOYANKA,STOYANKA,S STOYANKA,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRYY,STRYY,STRYI,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMY,SUMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURATTHANI,SURATTHANI,SURAT THANI,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVALYAVA,SVALYAVA,Svalyava,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBILISI,TBILISI,Tbilisi,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEL AVIV,TEL AVIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERNOPOL,TERNOPOL,TERNOPIL,Ternopil,TERNOPIL,TERNOPIL',TERNOPOL,TERNOPOL',Ternopil,,,,,,,,,,,,,,,,,,,,,
TREBISOV,TREBISOV,Trebisov,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUSKAVETS,TRUSKAVETS,TRUSKAVEC,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMAN,UMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UZHGOROD,UZHGOROD,UZHOROD,UJGOROD,UZGOROD,UZHGOROD,HGOROD,U HGOROD,Uzhgorod,H.UZHHOROD,UJGOROD,UZHHOROD,UZHOROD,UZGOROD,,,,,,,,,,,,,,,,
VALENCIA,VALENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VENEZIA,VENEZIA,VENICE,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERHN KOROPET,VERHN KOROPET,VERHNIY KOROP,VERKHNIY KORO,,,,,,,,,,,,,,,,,,,,,,,,,,
VILNIUS,VILNIUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINNITSA,VINNITSA,VINNYTSYA,VINITSA,VINNICYA,VINNITSA,VINNITSKIE KH,VINNITSYA,VINNITZYA,VINNUCYA,VINNUTSYA,VINNYCYA,VINNYTSA,VINNYTSIA,VINNYTSKA OBL,VINNYTSKI HUT,VINNYTSYA,VINNYTZYA,VINYTSA,VINYTSYA,VYNNYATSYA,VYNNYTSYA,,,,,,,,
VISHNEVOYE,VISHNEVOYE,VISHNEVOE,VISHNEVOYE,VYSHNEVE,,,,,,,,,,,,,,,,,,,,,,,,,
VOLNYANSK,VOLNYANSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VYSHGOROD,VYSHGOROD,VYZHGOROD,VYSHGOROD,VYSHHOROD,VYZHGOROD,VISHGOROD,VISHHOROD,VYZHGOROD,,,,,,,,,,,,,,,,,,,,,
WARSZAWA,WARSZAWA,Warszawa,WARSAW,WARSZAWA,,,,,,,,,,,,,,,,,,,,,,,,,
Wien,Wien,WIEN,Flughafen Wie,Wien/Flughafe,Wien-Flughfaf,Wien-Flughafe,Wien Flughafe,WIEN-FLUGHAFE,,,,,,,,,,,,,,,,,,,,,
WIESBADEN,WIESBADEN,Wiesbaden,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAREMCHE,YAREMCHE,YAREMCHA,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAVOROV,YAVOROV,YAVORIV,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAPOROZHYE,ZAPOROZHYE,ZAPORIZHZHYA,ZAPOROZHE,ZAPORIZHYA,,,,,,,,,,,,,,,,,,,,,,,,,